Date,Open,High,Low,Close,Adj Close,Volume
2023-03-06,129.639999,130.860001,129.589996,130.190002,124.419189,3131200
2023-03-07,130.279999,130.419998,128.190002,128.250000,122.565193,3530400
2023-03-08,128.479996,128.740005,127.550003,128.050003,122.374069,2778800
2023-03-09,128.300003,128.529999,125.980003,126.160004,120.567833,5478300
2023-03-10,126.120003,127.290001,125.129997,125.449997,119.889305,5990900
2023-03-13,125.150002,128.190002,124.849998,125.580002,120.013550,8188400
2023-03-14,126.489998,126.639999,123.199997,124.650002,119.124771,8114800
2023-03-15,122.989998,123.349998,121.709999,123.279999,117.815491,5989300
2023-03-16,122.959999,124.820000,121.919998,124.699997,119.172546,6438700
2023-03-17,124.080002,124.519997,122.930000,123.690002,118.207321,37400200
2023-03-20,124.309998,126.160004,124.190002,125.940002,120.357582,4588300
2023-03-21,126.900002,127.150002,125.660004,126.570000,120.959656,3856300
2023-03-22,127.000000,127.220001,124.010002,124.050003,118.551361,3549000
2023-03-23,123.809998,124.930000,122.599998,123.370003,117.901505,4651900
2023-03-24,123.360001,125.400002,122.879997,125.290001,119.736397,3812300
2023-03-27,126.470001,130.259995,126.470001,129.309998,123.578194,6524100
2023-03-28,129.179993,129.660004,128.800003,129.339996,123.606873,2888900
2023-03-29,130.119995,130.350006,129.179993,129.710007,123.960487,3279600
2023-03-30,130.160004,131.479996,129.100006,129.220001,123.492203,3561800
2023-03-31,129.470001,131.229996,129.419998,131.089996,125.279289,4524700
2023-04-03,130.970001,132.610001,130.770004,132.059998,126.206299,3840100
2023-04-04,131.990005,132.149994,130.889999,131.600006,125.766693,3382800
2023-04-05,131.369995,132.610001,131.369995,132.139999,126.282761,2898700
2023-04-06,132.160004,132.600006,130.320007,130.500000,124.715462,3050600
2023-04-10,129.830002,131.080002,129.240005,131.029999,125.221962,2614400
2023-04-11,130.580002,131.100006,130.179993,130.419998,124.639000,3132400
2023-04-12,130.399994,130.889999,128.169998,128.539993,122.842331,3957500
2023-04-13,128.009995,128.389999,126.000000,127.900002,122.230705,5621500
2023-04-14,128.460007,129.839996,127.309998,128.139999,122.460068,4180600
2023-04-17,128.300003,128.720001,126.800003,127.820000,122.154243,3662700
2023-04-18,128.139999,128.679993,127.349998,127.779999,122.116035,3193800
2023-04-19,126.500000,126.980003,125.300003,126.320000,120.720734,7014400
2023-04-20,130.149994,130.979996,125.839996,126.360001,120.758965,9749600
2023-04-21,126.000000,126.699997,125.269997,125.730003,120.156898,6725400
2023-04-24,125.550003,126.050003,124.559998,125.400002,119.841522,4043900
2023-04-25,124.900002,126.190002,124.760002,125.889999,120.309799,4275400
2023-04-26,125.809998,126.550003,125.120003,125.849998,120.271576,4070200
2023-04-27,126.370003,127.019997,125.459999,126.970001,121.341927,3204900
2023-04-28,126.580002,127.250000,125.639999,126.410004,120.806755,5060500
2023-05-01,126.349998,126.750000,126.059998,126.089996,120.500931,2725000
2023-05-02,126.300003,126.449997,123.269997,125.160004,119.612160,4445300
2023-05-03,125.459999,125.570000,123.260002,123.449997,117.977951,4554200
2023-05-04,123.029999,123.519997,121.760002,122.570000,117.136963,4468200
2023-05-05,123.110001,124.099998,122.809998,123.650002,118.169090,4970800
2023-05-08,123.760002,123.919998,122.550003,123.400002,117.930176,3663800
2023-05-09,121.900002,121.970001,120.660004,121.169998,117.378006,4540000
